299	1	SUR
300	1	LA
301	4	PUBLICITE
302	4	POURAMENER
303	4	BAUDELAIRE
304	1	A
305	5	RESIPISCENCE
306	1	LE
307	2	PARQUET
308	3	IMPERIAL
309	1	NE
310	1	PRIT
311	1	PAS
312	2	TANTDE
313	4	MENAGEMENTS
314	1	LE
315	2	LIVRE
316	1	A
317	2	PEINE
318	2	PARU
319	1	FUT
320	3	DEFERE
321	1	AUX
322	3	TRIBUNAUX
323	3	TANDISQUE
324	4	BAUDELAIRE
325	1	SE
326	2	HATAIT
327	1	DE
328	3	RECUEILLIR
329	1	EN
330	3	BROCHURE
331	1	LES
332	8	ARTICLESJUSTIFICATIFS
333	0	D
334	2	EDMOND
335	2	THIERRY
336	2	BARBEY
337	0	D
338	4	AUREVILLY
339	2	CHARLES
340	4	ASSELINEAU
341	1	ETC
342	1	IL
343	4	SOLLICITAIT
344	0	L
345	3	AMITIE
346	1	DE
347	2	SAINTE
348	2	BEUVE
349	1	ET
350	1	DE
351	2	FLAUBERT
352	4	TOUTRECEMMENT
353	3	POURSUIVI
354	1	POUR
355	2	AVOIR
356	2	ECRIT
357	3	MADAME
358	3	BOVARY
359	1	DES
360	2	MOYENSDE
361	3	DEFENSE
362	1	DONT
363	1	LES
364	3	MINUTES
365	1	ONT
366	2	ETE
367	3	CONSERVEES
368	1	ET
369	1	DONT
370	1	IL
371	4	TRANSMETTAITLA
372	2	TENEUR
373	1	A
374	1	SON
375	3	AVOCAT
376	1	ME
377	1	CHAIX
378	0	D
379	1	EST
380	2	ANGE
381	1	SUR
382	1	LE
383	5	REQUISITOIRE
384	1	DE
385	0	M
386	2	PINARD
387	2	ALORS
388	3	AVOCAT
389	3	GENERAL
390	1	ET
391	1	PLUS
392	1	TARD
393	3	MINISTRE
394	1	DE
395	0	L
396	3	INTERIEUR
397	3	LEDELIT
398	0	D
399	3	OFFENSE
400	1	A
401	1	LA
402	3	MORALE
403	4	RELIGIEUSE
404	1	FUT
405	3	ECARTE
406	1	MAIS
407	1	EN
408	2	RAISON
409	1	DE
410	4	LAPREVENTION
411	0	D
412	3	OUTRAGE
413	1	A
414	1	LA
415	3	MORALE
416	3	PUBLIQUES
417	1	ET
418	1	AUX
419	2	BONNES
420	1	MOEURS
421	2	LACOUR
422	3	PRONONCA
