216	1	D	ABOIS
217	1	D	APPLAUDIR
218	1	D	ENFANT
219	1	D	IDEE
220	1	F	N
221	1	SOUTANE	AUX
222	1	G	JADIS
223	1	G	DE
224	1	BUCHE	DE
225	2	A	VU
226	3	A	MON
227	3	A	DU
228	1	A	TEMOINQUE
229	3	A	FROID
230	1	A	QUELQUE
231	7	A	MOI
232	6	A	LEURS
233	1	A	RACINE
234	1	A	SENTI
235	1	A	SOPHOCLE
236	5	A	NOS
237	4	A	DE
238	1	A	MOT
239	2	A	PETIT
240	1	A	FAUX
241	1	A	NAITRE
242	1	A	UN
243	1	A	QUEL
244	1	A	COUPSUR
245	2	A	DONC
246	1	A	TORDU
247	1	A	DUCIS
248	1	A	CONNAITRE
249	5	A	COUP
250	3	A	TOUTE
251	1	A	FRANCHIR
252	1	A	TANT
253	1	A	TOUJOURS
254	3	A	D
255	1	A	FOND
256	3	A	PASSE
257	1	A	SAIGNE
258	2	A	FLOTS
259	2	A	B
260	1	A	ALORS
261	1	A	DEMAIN
262	93	A	L
263	2	A	M
264	3	A	PRIS
265	4	A	CEUX
266	2	A	T
267	1	A	NUANCE
268	1	A	PLEURER
269	1	A	S
270	1	A	CELLE
271	2	A	FAIM
272	3	A	BOIRE
273	1	A	TERRE
274	6	A	FAIT
275	1	A	CAIPHE
276	2	A	CET
277	7	A	CES
278	1	A	JOUR
279	2	A	MESURE
280	1	A	ROSE
281	1	A	ROUEN
282	1	A	PUISEE
283	1	A	FUI
284	3	A	GOUTTE
285	2	A	VIRGILE
286	1	A	LAISSE
287	1	A	FORCE
288	2	A	TATONS
289	3	A	DEMI
290	4	A	POUR
291	1	A	DISPARU
292	1	A	MANQUE
293	1	A	MONSTRE
294	1	A	QU
295	1	A	FINI
296	14	A	TRAVERS
297	1	A	SCULPTE
298	1	A	VAUGELAS
299	1	A	RAFRAICHIR
300	2	A	TOUTES
301	1	A	GERMER
302	1	A	PARLER
303	1	A	RUCHES
304	1	A	CECI
305	3	A	NOTRE
306	1	A	CHOISI
307	1	A	SOUS
308	3	A	PLUS
309	1	A	CHLOE
310	1	A	PLAUTE
311	1	A	MOURIR
312	1	A	UNE
313	1	A	MIDI
314	1	A	CHACUN
315	1	A	DEPOSE
316	4	A	SES
317	2	A	DIANE
318	1	A	MIS
319	1	A	CHANTE
320	1	A	GOUT
321	7	A	CHAQUE
322	2	A	TES
323	2	A	DIT
324	1	A	CLAIRE
325	2	A	CHANTER
326	2	A	TOUT
327	7	A	TOUR
328	7	A	TOUS
329	17	A	CE
330	1	A	DIX
331	1	A	BEAU
332	1	A	PINDARE
333	1	A	COUPE
334	2	A	FAIRE
335	8	A	VOS
336	12	A	SA
337	1	A	CROIRE
338	2	A	DIRE
339	1	A	CHEVAL
340	1	A	SONGER
341	1	A	PANCLUS
342	5	A	COTE
343	4	A	VOIX
344	1	A	FACE
345	3	A	ME
346	1	A	POIGNEES
347	1	A	BATI
348	1	A	GERMEUN
349	1	A	MI
350	1	A	BACCHUS
351	1	A	PRIER
352	1	A	TIRE
353	2	A	MA
354	1	A	SOLITUDE
355	1	A	VERSAILLE
356	1	A	PEINT
357	6	A	QUOI
358	2	A	REVER
359	1	A	VUS
360	1	A	NI
361	5	A	PEINE
362	1	A	FLEUR
363	1	A	SEIZE
364	1	A	TETE
365	2	A	PEUR
366	1	A	TERRELEURS
367	1	A	CENT
368	1	A	NOMME
369	1	A	RAYON
370	1	A	CACHER
371	3	A	DANS
372	3	A	MES
373	7	A	LEUR
374	5	A	QUI
375	1	A	MECENE
376	1	A	SOUPIR
377	1	A	LUEUR
378	2	A	TORT
379	2	A	DROITE
380	1	A	PASSER
381	1	A	DOUTE
382	1	A	PERSONNE
383	1	A	ROMELES
384	1	A	CRU
385	1	A	LAHARPE
386	1	A	VERS
387	1	A	FILER
388	3	A	DEUX
389	1	A	DROIT
390	1	A	REVE
391	7	A	CETTE
392	1	A	GENOUX
393	1	A	COMPRIS
394	8	A	DES
395	1	A	PROMENER
396	2	A	HAUTE
397	1	A	TACHER
398	6	A	VOUS
399	2	A	DANTE
400	2	A	QUELQU
401	1	A	CELA
402	2	A	NOUS
403	1	A	PATMOS
404	1	A	ROME
405	2	A	PRESENT
406	1	A	FOULE
407	1	A	MARCHER
408	8	A	PAS
409	1	A	QUAND
410	1	A	REGRET
411	1	A	RIEN
412	1	A	LIRE
413	1	A	VEPRES
414	4	A	JAMAIS
415	9	A	LUI
416	2	A	GARDE
417	2	A	GRAND
418	1	A	MESUREQUE
419	1	A	SOLEIL
420	1	A	CONQUIS
421	3	A	TOI
422	1	A	PAGE
423	2	A	DECHIFFRER
424	1	A	BARINE
425	6	A	DIEU
426	84	A	LA
427	13	A	SON
428	1	A	TERENCE
429	3	A	LE
430	1	A	SOMBRE
431	1	A	LES
432	4	A	TON
433	1	B	LA
434	2	B	C
435	2	C	D
436	8	C	ETAIT
437	1	C	ETAIENT
438	155	C	EST
439	1	L	IMPORTUNITE
440	8	L	ANTRE
441	1	L	EVANGILE
442	1	L	OPINION
443	1	L	AMEA
444	1	L	ENTOURE
445	2	L	HONNETE
446	2	L	EMPORTE
447	1	L	ABBE
448	4	L	OBSCUR
449	1	L	HERBESEMBLE
450	2	L	AMANT
451	1	L	ABRI
452	1	L	AMEL
453	1	L	EVENTAIL
454	1	L	IGNORANCESAIT
455	1	L	ESCLAVE
456	2	L	ILLUSION
457	21	L	AUBE
458	1	L	INABORDABLE
459	1	L	OPPRIME
460	1	L	ABRITER
461	1	L	ORAGE
462	1	L	HOMMEQUI
463	1	L	ATTESTE
464	1	L	ARC
465	1	L	ESCALIER
466	1	L	ORNEMENT
467	13	L	UN
468	1	L	INVENTEUR
469	1	L	ORCHESTRE
470	2	L	ELEMENT
471	1	L	EMBRASSE
472	4	L	AVAIT
473	1	L	ECHELLE
474	4	L	ENIGME
475	1	L	APPARITION
476	2	L	OPPROBRE
477	11	L	ABIME
478	1	L	ATTRIBUT
479	3	L	AVENIR
480	2	L	EPI
481	1	L	ADVERSITEPEUT
482	16	L	HEURE
483	19	L	AZUR
484	2	L	ANTIQUE
485	1	L	HONNEUR
486	24	L	ASTRE
487	1	L	EFFAREMENT
488	1	L	AUMONE
489	2	L	A
490	1	L	INSTITUTEUR
491	1	L	ECRIVANT
492	1	L	HABILLEEN
493	1	L	HIPPOCRENE
494	1	L	ECURIE
495	1	L	ACCEPTE
496	1	L	IMPROVISE
497	1	L	AVOUE
498	9	L	ART
499	5	L	OUBLI
500	1	L	ETAT
501	5	L	EXTASE
502	1	L	HOSANNA
503	1	L	HIPPODROME
504	1	L	ALEXANDRIN
505	1	L	HUMAINE
506	1	L	ECHAFAUD
507	4	L	OCEAN
508	1	L	EXISTENCEHUMAINE
509	1	L	ETREIGNENT
510	1	L	UTILE
511	1	L	ANIER
512	4	L	ODE
513	1	L	OMBREELLE
514	1	L	ENVERGURE
515	1	L	ASSERVIT
516	1	L	INVISIBLE
517	1	L	ATOME
518	1	L	UNIVERSELLE
519	1	L	ALBATRE
520	1	L	OGRE
521	14	L	ETRE
522	3	L	AIEULE
523	1	L	ISSUE
524	2	L	OURAGAN
525	94	L	OMBRE
526	1	L	ACCUEILLIR
527	1	L	ARGILE
528	2	L	IGNORANCE
529	2	L	ENFER
530	1	L	EGLOGUE
531	3	L	ORGUEIL
532	1	L	EGLANTIER
533	1	L	ASPIRATION
534	2	L	ESPOIR
535	3	L	URNE
536	1	L	AMESOUS
537	1	L	INFILTRATION
538	1	L	APPELAITANGE
539	1	L	AIMAIS
540	1	L	ECUEIL
541	3	L	AS
542	1	L	ENIVRE
543	1	L	EMPLOYER
544	1	L	IGNORANTIN
545	1	L	IVOIRE
546	3	L	OREILLE
547	1	L	IMBECILLITE
548	1	L	OLYMPE
549	1	L	ISOLEMENT
550	2	L	IGNORANT
551	1	L	APPELAIS
552	1	L	ENCENSOIR
553	1	L	INCOMPLET
554	5	L	AI
555	1	L	ENORMITE
556	1	L	AM
557	1	L	ORPHELIN
558	2	L	AVENTURE
559	1	L	ARCHET
560	1	L	AMANTE
561	3	L	UNE
562	1	L	HALEINE
